capacitance_in_uf;width_in_mm;multiplier_1;height_in_mm;multiplier_2;length_in_mm;p1_in_mm;ordering code;i_rms_max_85degree_in_A;ESR_85degree_in_mOhm;ESL_in_nH;tan_delta_max_1kHz_in_e-3;tan_delta_max_10kHz_in_e-3;MOQ;V_R_85degree;V_op_105degree;V_op_125degree
1.5;24.0;x;15.0;x;42.0;-;B32716P1155K000;4.0;39.1;12.0;0.9;5.9;1040;1200;1200;960
2.0;24.0;x;19.0;x;42.0;-;B32716P1205K000;4.8;28.9;15.0;0.9;5.9;780;1200;1200;960
3.0;18.0;x;32.5;x;42.0;-;B32716P1305+000;6.1;19.2;26.0;0.9;6.0;720;1200;1200;960
3.5;18.5;x;35.5;x;42.0;10.2;B32716P1355K000;6.8;16.9;12.0;0.9;5.9;680;1200;1200;960
4.0;20.0;x;39.5;x;42.0;10.2;B32716P1405+000;7.8;14.3;12.0;0.9;5.9;640;1200;1200;960
4.5;22.0;x;37.0;x;42.0;10.2;B32716P1455K000;8.1;13.2;12.0;0.9;5.9;560;1200;1200;960
5.5;28.0;x;37.0;x;42.0;10.2;B32716P1555+000;9.8;10.4;12.0;0.9;5.9;440;1200;1200;960
6.0;24.0;x;44.0;x;42.0;12.7;B32716P1605+000;10.4;9.6;15.0;0.9;6.0;520;1200;1200;960
7.0;28.0;x;42.5;x;42.0;10.2;B32716P1705K000;11.3;8.6;14.0;0.9;6.0;440;1200;1200;960
8.0;30.0;x;45.0;x;42.0;20.3;B32716P1805K000;12.6;7.5;15.0;0.9;6.0;400;1200;1200;960
9.0;33.0;x;48.0;x;42.0;20.3;B32716P1905+000;14.3;6.5;16.0;0.9;6.0;180;1200;1200;960
10.0;35.0;x;50.0;x;42.0;20.3;B32716P1106+000;15.2;5.9;17.0;0.9;6.1;144;1200;1200;960
12.0;38.0;x;57.0;x;42.0;20.3;B32716P1126+000;17.1;4.9;19.0;0.9;6.2;224;1200;1200;960
15.0;42.5;x;60.0;x;42.5;20.3;B32716P1156K000;18.6;4.2;21.0;0.9;6.3;140;1200;1200;960
45.0;30.0;x;45.0;x;57.5;20.3;B32718P6456+000;14.3;5.4;15.0;2.9;25.5;280;600;600;400
50.0;30.0;x;45.0;x;57.5;20.3;B32718P6506K000;14.7;5.2;15.0;2.9;25.6;280;600;600;400
55.0;35.0;x;50.0;x;57.5;20.3;B32718P6556+000;16.9;4.5;16.0;2.9;25.9;108;600;600;400
60.0;35.0;x;50.0;x;57.5;20.3;B32718P6606+000;17.7;4.2;17.0;2.9;26.0;108;600;600;400
70.0;38.0;x;57.5;x;57.5;20.3;B32718P6706+000;19.7;3.6;19.0;2.9;26.6;96;600;600;400
75.0;38.0;x;57.5;x;57.5;20.3;B32718P6756+000;20.3;3.4;19.0;3.0;26.7;96;600;600;400
80.0;38.0;x;57.5;x;57.5;20.3;B32718P6806K000;20.6;3.3;20.0;3.0;26.8;96;600;600;400
85.0;45.0;x;55.0;x;57.5;20.3;B32718P6856+000;22.4;3.0;19.0;3.0;26.9;140;600;600;400
90.0;45.0;x;57.0;x;57.5;20.3;B32718P6906+000;23.2;2.9;20.0;3.0;27.1;140;600;600;400
100.0;45.0;x;65.0;x;57.5;20.3;B32718P6107+000;25.1;2.7;22.0;3.1;27.8;140;600;600;400
110.0;45.0;x;65.0;x;57.5;20.3;B32718P6117K000;25.8;2.5;23.0;3.1;28.0;140;600;600;400
36.0;30.0;x;45.0;x;57.5;20.3;B32718P3366+000;13.7;6.0;15.0;2.6;22.6;280;675;675;450
45.0;35.0;x;50.0;x;57.5;20.3;B32718P3456+000;16.4;4.9;16.0;2.6;22.9;108;675;675;450
